sample	TCGA-ZS-A9CG-01
SLC36A1	6.3435
ST13	13.4555
RPL31P11	2.3542
C14orf115	0.0
ZC3H15	10.1404
TMEM213	1.2455
C14orf118	6.6198
ARTN	2.5357
ART1	0.0
HRH3	0.0
ART3	1.2455
HERC2P2	8.0494
ART5	2.1465
ART4	7.021
RNF111	8.895
TCEA2	8.6011
TCEA3	11.703
TCEA1	11.5617
MGC57346	2.1465
COX4I2	5.443
COX4I1	13.3402
BFAR	9.9264
ZC3H18	9.4699
TMEM212	0.0
SNORD115-13	0.0
TCEB3B	1.6119
SIPA1	9.5314
CRTAM	2.5357
EDA	2.5357
OR6P1	0.0
CCDC116	1.2455
CADPS2	8.7917
CCDC114	4.0675
CCDC115	9.2159
CCDC112	3.4961
CCDC113	6.6594
CCDC110	5.0239
CCDC111	7.4289
LEO1	9.0411
ATP1A4	0.0
ATP1A3	0.7532
ATP1A2	12.2524
ATP1A1	12.5367
KGFLP2	6.6127
MGRN1	11.0582
TCP1	12.0439
CRTAP	12.9961
CBLC	2.6969
SPHK1	4.7858
DPT	4.4758
BPESC1	0.0
CUEDC1	7.1519
CUEDC2	10.3678
CBLB	7.5399
CPEB4	10.8896
CPEB1	0.0
ZNF45	6.8601
CPEB3	9.2159
CPEB2	9.0745
BEGAIN	6.2685
RBMXL3	0.0
OSGEP	8.7782
ABAT	13.2595
LOC100129637	6.4715
ZNF780A	7.7702
ZNF780B	7.0286
TLN2	7.4005
FRG1	8.9856
FRG2	0.0
RHEBL1	3.9445
ZNF41	6.7903
IFT80	6.9185
FBRS	9.9675
ZNF414	7.8624
IFT88	8.5934
IL10RA	7.5345
POU5F1B	4.384
SP1	10.5102
SLC27A4	9.8883
SP2	8.6804
OLA1	9.6069
PNOC	0.0
CNTF	4.0073
MCM10	3.4056
PDIA5	11.0414
SP4	6.0913
TMEM38B	8.5883
THUMPD3	9.4587
IGFBPL1	0.0
SP5	9.6714
ATG4C	7.667
ATG4B	9.526
ATG4A	9.4232
THUMPD2	6.5155
LOC441208	5.5312
ATG4D	7.2172
PHOX2A	0.0
PHOX2B	0.0
SNORD114-31	0.0
SNORD114-30	0.0
LRGUK	1.9038
MPHOSPH8	8.9817
UPK2	2.5357
CFH	15.5825
CFI	14.1293
PNP	9.6119
ANKFY1	9.8034
C1orf14	0.0
CFB	15.7251
OR5P3	0.0
OR5P2	0.0
MLLT4	10.9741
SNORD115-6	0.0
CREBBP	10.6945
PNN	9.7539
PHYHIPL	9.6629
ATP6V0E1	11.8877
ATP6V0E2	12.5806
RNF128	13.1364
CFP	6.0169
AAAS	9.7822
HAMP	0.7532
ZNF394	8.3515
SIDT1	4.4758
SERPINA10	13.3305
SIDT2	10.1812
SNORD115-7	0.0
TAF8	8.9319
PISRT1	0.0
SIX4	3.2057
LOC283070	9.5193
SIX6	0.0
PM20D1	0.7532
MR1	7.561
MGC4473	0.0
SIX3	0.0
SNORD115-4	0.0
WASH3P	8.855
CNPY4	6.2163
CNPY3	8.9738
CNPY2	11.5498
CNPY1	0.0
NODAL	3.4056
SYNJ1	7.7101
KNDC1	3.6615
HMG20A	10.0045
HMG20B	10.4149
PHOSPHO2	3.8323
AAGAB	9.0354
C4orf19	7.8192
C3orf79	0.0
SLC7A6OS	6.3201
C3orf77	0.0
C3orf75	9.1232
C3orf74	0.0
C4orf10	7.7006
C3orf72	0.0
C3orf71	5.2045
C3orf70	3.4961
ZNF285	5.2744
MRO	7.1519
ZFP82	4.384
CHFR	8.5145
EFHA1	9.4275
RTBDN	2.1465
EFHA2	6.5047
AAA1	0.0
GPR75	4.384
NUDT9P1	1.2455
SYPL2	8.2117
RFX8	1.6119
ZNF222	5.443
RFX4	0.0
OR2C3	0.0
AVPR2	3.4056
RFX7	7.1519
NRXN3	7.6375
GPR77	2.1465
NRXN1	0.0
RFX3	3.5811
SNORD104	0.0
RFPL2	6.1057
VPS37D	8.2833
NLRP13	0.0
APC	8.4622
TMEM179B	10.2378
ABCE1	9.9305
UQCRC2	12.7489
XPNPEP1	9.397
XPNPEP2	12.1839
TIGD4	0.7532
ZNHIT3	8.9846
GGCX	12.1497
PAPLN	5.3491
ADNP	10.0602
TMEM218	8.042
STXBP6	8.4166
KHDRBS1	11.1442
RUNDC2C	3.2573
KHDRBS3	9.0107
GGCT	8.8614
VPS37C	8.1745
STAC2	0.0
LOC283404	0.0
ZNF395	9.2569
STAC3	4.384
TBL1Y	0.0
LHCGR	0.0
TMEM211	0.0
OR1Q1	0.0
TMEM127	11.0775
GPR78	0.0
TRPA1	0.0
VPS37B	8.8072
TTC7A	8.1151
UQCRHL	9.3658
ZBED4	8.4021
C11orf2	11.5633
C11orf1	8.5463
DPYSL5	0.0
DPYSL2	10.8381
DPYSL3	8.3844
OSTM1	8.8929
RUNX2	3.6615
C11orf9	9.8188
KRTAP10-12	0.0
KRTAP10-11	0.0
KRTAP10-10	0.0
IGFBP2	13.8669
IGFBP3	10.9756
IGFBP1	13.8795
BOP1	9.8609
IGFBP7	12.0271
IGFBP4	14.7835
IGFBP5	10.9077
SKP2	7.3346
TTC4	9.0579
CYP2R1	7.3946
CKLF	7.4409
ZNF193	5.9222
C15orf26	0.0
C15orf27	4.8289
C15orf24	10.8953
GJA3	0.0
APLNR	5.6143
C15orf23	7.4179
C15orf21	4.8968
GJA8	1.6119
CYP8B1	14.9542
C15orf28	0.7532
C15orf29	7.3769
STMN1	9.2259
S1PR2	5.2744
KDM3B	9.9625
REG1P	0.0
STK17A	8.7231
KDM3A	9.755
LOC401387	0.0
S1PR1	10.489
ZNF642	5.8892
TMC4	4.0675
MYO3A	0.0
TMC6	7.1309
KIAA1958	5.2486
APIP	9.4018
TMC1	0.7532
GPR15	1.6119
TMC3	1.6119
PKLR	13.1927
TECRL	0.0
EIF2B4	9.6031
EIF2B5	9.6395
EIF2B2	8.9953
EIF2B3	9.0467
EIF2B1	9.9028
PRKAR2A	8.1328
CSNK2A1P	7.7148
XRRA1	8.1278
C20orf56	12.7907
C20orf54	5.1406
TXNIP	13.1
SLC36A4	6.3796
LOC389791	3.8099
ZNF876P	2.3542
MLF1	3.3091
QPRT	12.7028
IFT140	8.068
MLF2	12.2894
TMEM14C	11.1598
FAM157A	1.6119
FAM157B	0.0
FANCF	8.2991
MECOM	6.7541
ITGA2B	1.6119
RSPH1	0.7532
IFI16	8.6995
SOX6	7.7335
LOC440944	7.1998
TTC1	9.7377
C9orf128	0.7532
C9orf129	6.3065
MYT1L	0.0
C9orf125	7.6815
C9orf122	2.1465
CEPT1	9.5166
KIAA1267	9.5017
RTCD1	8.936
CFHR2	13.8157
CFHR3	10.1413
CLIC4	10.9353
CLIC5	7.3099
CLIC2	7.4063
CLIC3	1.2455
CFHR4	10.4149
CFHR5	12.3519
KRTAP2-2	0.0
KRTAP2-1	0.7532
CXorf1	0.0
KIAA0020	9.3985
KRTAP2-4	0.0
TMEM147	10.1988
ASGR1	13.9133
ASGR2	14.1786
PCDHA1	0.0
FOXL2	1.2455
RIT1	7.9728
TMEM141	10.3886
FOXL1	2.9736
SF1	11.4995
PCDHA6	0.0
PKIB	6.1482
TMEM149	8.6761
API5	10.6211
KRTCAP3	0.7532
NUMBL	6.1482
RTKN2	1.9038
RNF180	4.2861
P2RX7	4.7575
SECISBP2L	9.6726
SBF1P1	0.0
LOC100128811	0.0
HAS2	2.1465
KIAA1199	4.6435
HLA-DPA1	10.7909
ZSWIM3	6.3313
FAM32A	10.7106
KIAA1191	11.8206
FER1L6	0.0
ALOX12P2	4.6825
FER1L4	2.6969
FER1L5	0.0
CA5B	9.4132
ZNF559	6.8601
VWA1	11.4151
C19orf22	9.9625
C19orf23	4.6033
C19orf20	8.1187
C19orf21	1.2455
C19orf26	1.2455
ZMAT4	0.0
C19orf24	10.4134
C19orf25	8.954
MYBL1	5.4656
NR1D1	9.5694
C19orf28	9.2634
C19orf29	8.7872
ITGB1BP1	8.8291
ITGB1BP3	0.7532
ITGB1BP2	5.9545
ZNF7	9.5456
ZNF2	6.6397
ZNF3	9.2051
CTCFL	3.7084
PHLDA1	13.0711
RPL31	14.1441
ZNF8	5.2058
PCP4L1	4.2345
C11orf17	8.2283
C11orf16	0.0
ZAP70	5.1406
SNORD115-9	0.0
C11orf10	10.6078
ZCCHC13	0.0
UFSP2	9.3556
OGFR	10.7744
EPM2AIP1	9.5473
CDC5L	9.8736
RAC2	7.0586
RAC3	8.3874
RAC1	11.7154
SBDS	10.9951
RCL1	12.6888
SBK2	0.0
MRPS18A	9.9615
CPLX2	7.7054
CPLX3	2.5357
ORC3L	8.9699
CPLX1	7.3346
AP2A1	11.4633
CPLX4	0.7532
AP2A2	11.262
LOC389333	3.3091
LILRB3	5.205
CADPS	1.2455
FIGNL1	7.4294
KDM4DL	0.0
PBX3	8.0193
PBX1	9.5735
AIRE	0.0
TMOD2	6.4263
MFSD11	8.6015
NSUN2	10.2948
NSUN5	9.4446
NSUN4	8.6561
NSUN7	0.0
NSUN6	9.3882
PRAMEF4	0.0
PRAMEF5	0.7532
PRAMEF6	0.7532
TUBG2	7.9449
FAM71F1	0.0
PRAMEF1	0.7532
PRAMEF2	2.6969
FAM71F2	1.6119
PTCH2	1.6119
OR7G1	0.0
PCDHGA2	3.5811
PRAMEF9	0.0
PRDM9	1.2455
SGK269	8.3454
FAM108B1	9.1669
TBC1D1	9.2762
ZXDA	5.1406
PAMR1	4.9297
RAD9A	7.5277
ERGIC2	9.0146
ERGIC3	12.428
CDR2L	5.8724
ERGIC1	12.2473
CLEC14A	8.6011
PDF	8.2905
B3GAT3	9.7002
B3GAT2	0.7822
B3GAT1	2.6969
FAM66E	0.0
FAM66C	0.7532
PER1	11.6272
CPPED1	11.9014
OR10A2	0.0
UXT	10.2098
CALM2	11.8955
CALM3	13.1933
SPG21	10.9771
CALM1	12.2621
GSDMA	1.2455
GSDMB	7.8835
GSDMC	1.2455
GSDMD	12.6855
HRH4	0.7532
UPK1B	0.0
DLGAP2	0.0
DLGAP3	3.4056
DLGAP1	1.6119
DLGAP4	10.2222
DLGAP5	2.6969
BRDT	0.0
HRH2	1.9038
MBNL2	10.6305
MBNL3	9.4824
PLK3	7.2065
A1BG	14.1943
TTC8	7.5238
PLK2	9.5565
ZNF720	7.4967
OIP5	3.1253
CLCN3	9.4203
CLCN2	6.2813
CLCN1	2.8419
HRH1	4.8289
CLCN7	11.0096
CLCN6	8.5934
CLCN5	10.3306
CLCN4	7.9001
FBXL19	7.7882
BRD8	9.0279
BRD9	8.8929
PCDHGA1	1.9038
FBXL18	8.0532
BRD4	10.7117
BRD7	9.5273
BRD1	8.8507
BRD2	12.1954
BRD3	8.9732
DNAJA2	10.9791
DNAJA3	10.8797
DNAJA1	12.8478
TGFBR3	10.6423
DNAJA4	8.5036
GLG1	10.9543
LOC643387	4.5621
PTPN12	9.9375
PTPN11	11.3817
LOC84931	0.0
LOC100192379	0.0
LOC100192378	1.2455
MYCBP	8.4281
PTPN14	7.7927
GALR3	4.6825
GALR2	1.6119
GALR1	2.5357
SETD1B	9.8319
LYAR	7.9767
PCDH20	7.2265
C8orf30A	10.7241
CH25H	7.9369
C16orf74	3.4056
C16orf75	6.0767
MRPL27	10.0482
CSF2RA	4.6825
DMD	9.8275
C16orf71	4.7205
C16orf72	9.9968
C16orf73	0.0
GAB4	0.0
LRFN4	3.5811
C16orf78	0.0
C16orf79	3.1105
GAB1	7.6911
C2orf81	3.9309
C2orf80	0.7532
C2orf83	0.0
C2orf82	3.4961
C2orf85	0.0
C2orf84	0.7532
HABP2	11.1015
C2orf86	6.7449
C2orf89	5.2224
C2orf88	4.1254
FLJ46361	0.0
NDRG3	8.661
NDRG4	3.0944
TBC1D9	10.7153
ZSCAN2	7.953
PRAP1	13.4363
CHD1L	10.7035
HOXA6	1.2455
HOXA5	2.5357
SNORD38A	0.0
DNAJB13	0.7532
DNAJB12	10.1526
DNAJB11	10.8907
HOXA4	2.9974
HLA-DQB1	8.0039
MSMB	0.7532
UPF0639	0.0
DNAJB14	7.3529
RNF138	7.9767
HOXA3	6.8429
ENOSF1	9.4317
HOXA2	2.5357
CISD2	10.3878
CISD3	11.2464
CISD1	9.334
CLNS1A	10.9338
HOXA1	0.7532
FLJ44635	3.9445
R3HDML	2.1465
TSHZ2	8.6731
TSHZ3	4.9297
EIF4E1B	0.0
MRC2	5.2486
FOXS1	4.2861
PABPC1P2	0.7532
ZNF581	8.2479
IGLL1	0.0
MCOLN1	9.9355
ZNF582	5.2486
TIPARP	9.7499
ZNF584	7.2265
ZNF587	7.5605
HAPLN4	7.203
ZNF589	6.0169
U2AF2	10.824
THSD1	9.3688
SGK494	4.2861
TMEM115	10.6423
ZFP161	8.2928
RELA	10.8527
?|26823	0.0
LPAR6	7.2847
LSM12	9.331
PSD	5.4878
UXS1	8.7114
CAMKK2	10.1378
CAMKK1	4.8633
P2RX2	0.0
HOXA9	2.8419
LOC84856	1.6119
OR8U1	0.0
LPAR5	3.6615
ZP3	3.5811
LOC441046	2.8419
ZP2	3.9445
TMEM123	12.2084
MTRF1L	7.6959
MYO1H	0.7532
MYO1G	4.9297
MYO1F	8.0001
MYO1E	9.1036
MYO1D	10.136
MYO1C	11.2848
MYO1B	13.716
MYO1A	6.9266
GRN	12.5995
LCN6	1.6119
LOC100128640	4.8968
RPL36AL	11.6676
RAET1G	1.6119
KIAA0391	9.334
CHMP7	8.7486
CHMP6	9.6567
BCR	10.3144
OR52N4	0.7532
OR52N5	0.0
OR52N2	0.0
CTPS2	8.6948
NDC80	4.1254
OR52N1	0.0
SULT6B1	0.0
LY6G6C	0.0
HOXA13	7.6572
LY6G6E	0.0
HOXA11	1.2455
HOXA10	5.6143
KRTAP19-2	0.0
KRTAP19-3	0.0
PPIAL4C	5.4656
KRTAP19-1	0.0
KRTAP19-6	0.0
KRTAP19-7	0.0
KRTAP19-4	0.0
FAM188A	8.0643
FAM160B1	10.1878
KRTAP19-8	0.0
FAM160B2	8.7067
RAD54B	6.9345
GALNTL5	0.0
GALNTL4	8.3147
TSSK4	2.5357
GALNTL6	0.0
GALNTL1	4.7205
LSM11	7.138
ZNF323	8.2479
GALNTL2	8.8443
SNORD114-3	0.0
SF3B1	11.9604
TUSC2	9.2553
SRI	9.0336
SUN1	10.0312
SRL	3.5811
SRM	10.0284
SRR	7.907
LGALS9	7.953
LGALS8	10.9484
LGALS3	8.4954
LGALS2	1.9038
LGALS1	11.8077
SRY	0.0
LGALS7	0.0
LGALS4	12.7841
NMU	0.0
RNF114	10.6723
AKIRIN2	10.3989
AKIRIN1	9.3386
EIF2AK1	12.1399
ERCC6L	2.9736
EIF2AK3	9.0873
EIF2AK2	7.4635
TDG	7.5022
EIF2AK4	9.908
HN1	8.3933
SMS	9.3658
NMB	6.2813
EREG	0.0
LOC729467	0.0
AVPI1	8.2316
MYO16	8.1677
FAM136B	0.0
TRNT1	7.9409
ASAP1	9.5287
ASAP2	8.7578
ASAP3	9.4699
OCRL	10.2541
?|441362	0.0
VSIG10L	5.3246
PLAUR	5.6143
XIST	0.0
KRT28	0.7532
TBX2	8.6561
LOR	0.0
LRRC26	0.0
KIAA1524	3.2057
LRRC24	6.5162
KIAA1522	10.175
MPDU1	10.7317
KIAA1033	10.0425
LOX	8.5064
LPGAT1	11.1266
LOC284661	0.0
SEMA6D	3.9445
LRRC29	6.2426
KIAA1529	4.7575
SH3D20	1.2455
GCNT4	5.2486
GCNT7	0.7532
PRKX	6.5476
C14orf138	6.8081
C14orf139	4.9931
GCNT3	3.7376
GCNT2	7.9962
C14orf135	8.661
LOC440957	8.2864
C14orf132	2.6969
ZNF165	4.7575
LPCAT4	5.8554
LPCAT2	7.7148
LPCAT3	10.7639
LPCAT1	8.2641
SPNS1	10.335
KRT20	0.0
MID1IP1	11.1581
TAS2R42	0.0
PIGA	6.7723
PIGB	8.1639
PIGC	9.3793
PIGF	8.2948
CALCRL	8.0116
PIGH	8.6004
TBC1D3	8.2031
MGC70857	11.5462
PIGK	9.5206
PIGL	5.8033
PIGM	8.6658
PIGN	8.8909
PIGO	9.6333
PIGP	9.1071
C20orf185	0.0
C20orf186	0.0
PIGS	8.2641
ILKAP	8.2479
PIGU	9.0088
PIGV	9.7108
PIGW	7.6572
PIGX	8.1915
PIGY	10.8262
PIGZ	6.5893
KRT25	0.0
TMEM80	7.7316
NDFIP2	10.3745
ELAC1	6.9588
ANKLE1	2.1465
OR52R1	0.0
OR10A7	0.0
ALPP	0.0
RHPN1	7.9449
INPPL1	10.8601
OLR1	4.7575
RHPN2	9.6382
SRRM1	10.4918
ITGAD	2.5357
MGST2	12.2759
SRRM2	12.4722
RAET1L	0.0
SRRM4	2.9736
ITGAE	6.9824
PDK1	9.637
SEPX1	11.3976
PDK3	5.5734
PDK2	11.8002
EBP	11.7036
PDK4	14.201
SUN3	0.0
LNPEP	8.1912
MYO5C	7.1792
ALPI	0.7532
ZNF292	8.3991
SEC61A1	13.0664
SEC61A2	6.3582
ALPL	10.9643
PTGS2	2.6969
PECR	11.9474
DDHD2	7.6325
TBC1D5	10.0575
NAPRT1	12.2981
MGST3	11.9243
ZYG11A	6.5047
ORC2L	7.9369
RAB9BP1	0.0
OGFRL1	5.5734
PUF60	12.9243
SV2B	6.5155
ZFAND1	10.0887
MYO5B	9.8111
TMEM82	7.3099
PECI	12.9417
OR11G2	0.0
PPID	10.0556
PLVAP	12.146
SLC39A13	9.2242
SLC39A10	6.4937
SLC39A11	9.9803
LOC96610	9.5184
SLC39A14	13.1878
SCN2B	0.0
CEP120	7.3589
MTMR10	9.8572
EIF1AX	10.4047
EIF1AY	4.8968
NTRK2	3.4961
NTRK3	1.9038
ARHGAP23	5.6736
ARHGAP22	3.8099
ARHGAP21	9.4418
ARHGAP20	2.6969
ARHGAP27	6.8168
ARHGAP26	8.9319
ARHGAP25	6.9902
ARHGAP24	7.088
NARFL	9.5954
ARHGAP29	10.121
ARHGAP28	3.0944
NFKBIL2	7.9155
LOC150197	0.7532
PCGF1	8.3605
SYDE1	8.4789
DDIT3	9.4781
DDIT4	11.6941
NFKBIL1	9.3748
SLCO4C1	3.3091
RXFP3	0.7532
COL19A1	0.7532
NKRF	9.331
PCGF2	8.5817
TMEM84	2.3542
SMAD2	9.7934
MYSM1	5.7306
ATG2A	10.1157
LOC162632	3.3091
ATG2B	9.5735
PPPDE1	9.7687
PPPDE2	9.3493
BMP7	1.2455
C1orf38	7.1239
BMP5	0.0
BMP4	9.125
BMP3	0.0
BMP2	5.5524
BMP1	10.5881
GPR4	8.7463
C1orf31	9.3822
RLIM	10.3565
OR5R1	0.0
PCGF6	7.561
C1orf35	9.043
SSFA2	11.5924
FEM1C	9.8286
TERF2	9.2059
TERF1	10.2533
ASF1B	4.9297
LOC344595	4.0675
GOLGA8E	0.0
NDUFAF1	9.5112
GOLGA8G	0.0
FEM1A	9.8778
GOLGA8A	8.7601
GOLGA8C	0.7532
GOLGA8B	8.8909
MARCH11	0.0
MARCH10	0.0
LOC100125556	5.9375
CT45A1	0.0
PTOV1	11.32
CT45A3	0.0
CT45A2	0.0
CT45A5	0.0
CT45A4	0.0
RASSF7	9.4028
CT45A6	0.0
LPPR5	0.0
LPPR4	3.6615
LPPR3	0.0
LPPR2	9.4101
HBII-52-27	0.0
PMS2L4	4.8968
SPRY2	8.1044
RSAD2	6.6594
RSAD1	10.3587
ATP5C1	12.3248
NFS1	10.6789
CHD3	8.6238
CHD2	10.4364
CHD5	0.7532
CHD4	11.433
CHD7	9.3911
CHD6	8.6388
CHD9	9.3598
CHD8	9.5826
SGCA	2.3542
LOC121838	1.6119
CAP1	11.8244
CAP2	10.1827
LOC283050	3.8788
NPC2	11.5141
NPC1	9.3222
SKIV2L	10.4543
SNORD11	0.0
TNFSF12-TNFSF13	5.0664
C3orf59	4.7205
C3orf58	10.4869
PRKCB	5.2224
RAB3GAP2	9.8768
IL4R	9.7412
BHLHA15	2.5357
PIKFYVE	8.8635
C3orf51	0.0
C3orf50	0.0
C3orf52	0.7532
C3orf55	0.0
C3orf54	4.2345
C3orf57	1.6119
CAPS	7.3709
DYNC1LI1	8.6707
DYNC1LI2	10.0444
TRPC1	4.6033
EFHC2	0.0
EFHC1	6.294
CAPG	7.7657
TPRKB	8.2083
ETHE1	9.6419
PRDM16	5.1406
ABCG1	9.2026
ABCG2	12.0097
PLSCR5	0.0
ABCG4	0.0
ABCG5	9.675
PRDM10	6.5995
PLSCR1	8.7578
ABCG8	10.5075
MPO	1.6119
HNF4G	9.3186
AVP	0.0
ELP2	9.8893
PRKCZ	7.7743
SPC25	2.8419
TARS2	10.668
POLRMT	10.9479
MS4A6E	0.7532
MPZ	4.5196
SRBD1	8.2833
SGSM2	8.7917
MCPH1	7.0807
GRPEL1	10.4485
GRPEL2	8.1469
PLRG1	10.1647
SGSM1	4.7205
SF3B14	10.4911
SLC36A2	0.0
KRIT1	8.5883
LRRC27	7.3709
ASPHD1	7.6275
TRPC7	0.0
GADL1	6.7263
KRTAP5-10	1.2455
HLX	9.8715
QRSL1	7.8751
VOPP1	8.5386
FCER1G	7.5345
AKR1B10	9.7979
BTG3	9.0927
BTG2	8.4678
AKR1B15	2.1465
FAHD1	10.549
ZNF592	10.2038
SLA2	2.1465
SNORA67	1.9038
C4orf36	1.9038
C4orf37	1.2455
C4orf34	10.2205
C4orf35	1.2455
C4orf32	8.855
C4orf33	7.3346
C4orf31	2.8419
SRD5A3	8.8378
SRD5A2	10.1665
SRD5A1	10.8284
ZFP1	7.1658
C4orf38	5.2486
C4orf39	0.0
HELLS	3.3091
ZCCHC3	8.7984
FAM49A	5.3491
FAM49B	10.4343
PDILT	1.2455
SNORD12	0.0
SLC6A20	2.5357
ZFP36L2	13.2417
GGA1	10.1299
C10orf99	0.0
GGA3	8.6755
GGA2	10.1988
C15orf48	1.6119
ZNF510	6.9428
C10orf90	0.0
C10orf91	0.0
C10orf93	0.0
C15orf40	7.6523
C15orf41	7.9728
C10orf96	0.0
C15orf43	6.7449
SLC12A6	7.7974
FHOD1	6.7541
FHOD3	4.1809
ADH7	2.1465
ADH6	14.6671
ADH5	12.9336
ADH4	15.6521
C4orf6	2.5357
C4orf7	0.0
PKD1	9.2076
NRL	6.2556
GJC2	2.6969
C4orf3	12.4267
GJC1	6.12
ZNF138	6.0169
PFKFB1	8.1847
PRKACG	0.0
SPRYD3	10.3504
PRKACA	10.9942
ERICH1	6.9347
NUAK2	10.3908
PRKACB	9.5447
PSMB7	11.8339
PSMB6	10.8676
PSMB5	11.4635
C14orf119	9.4671
PSMB3	11.4799
PSMB2	11.2187
PSMB1	11.8312
LOC100128842	3.2057
C20orf79	0.0
TNFSF10	9.8199
PFKFB2	7.7382
LMBR1L	8.7067
HDHD3	11.3013
HDHD2	9.2407
C20orf71	0.0
C20orf70	0.0
LRRC23	6.1621
C20orf72	8.5985
PFKFB4	5.1684
PNMA1	7.1239
PPAPDC1A	0.0
TDGF1	8.4761
KLK1	0.0
TDGF3	5.2486
LOH3CR2A	3.6615
LOC339788	0.0
RMI1	8.7137
CORO6	2.3542
CORO7	8.1128
SNORD21	0.0
SNORD20	0.0
SNORD23	0.0
KLHDC5	7.8192
SNORD25	0.0
KCNK9	0.0
SFRS9	10.6723
LOC285456	2.8419
KCNK4	0.0
KCNK5	9.0653
BDNFOS	7.0031
KCNK7	1.6119
FAM155B	5.8554
CRY1	8.1364
CRY2	12.2839
FAM155A	0.0
C9orf144	0.0
SULT2A1	16.1638
C9orf140	2.8419
C9orf142	8.956
GLTP	8.4481
NACC2	6.0767
ACOT11	3.7893
ACOT12	9.6543
ACOT13	11.278
VPS13A	7.7428
LOC100128788	4.5621
VPS13C	9.1772
VPS13B	10.0528
BEX5	3.7376
BEX4	6.6496
BEX2	4.3359
BEX1	0.7532
